neighbourhood_code,neighbourhood_name,population,crime_rate_per_1000,log_crime_rate,tree_density_per_km2,light_density_per_km2,mean_dist_nightlife,mean_dist_mobility,mean_dist_retail,mean_dist_education,mean_dist_culture_sport,mean_dist_emergency_health
WK0363FQ,Sloten/Nieuw-Sloten,14720,3.9402173913043477,1.5974093365684932,2072.7272727272725,623.9057239057239,2.8666666666666667,3.7000000000000006,1.3999999999999997,0.8333333333333334,4.566666666666666,2.1166666666666667
WK0363KA,Hoofddorppleinbuurt,11765,6.4598385040374,2.0095337657289836,2658.3333333333335,1081.25,1.3333333333333333,1.9666666666666668,0.5666666666666668,0.6833333333333332,3.5833333333333326,1.7166666666666666
WK0363KB,Schinkelbuurt,3930,4.071246819338422,1.6235867083435336,2742.857142857143,902.8571428571429,1.2333333333333334,2.033333333333333,0.5666666666666667,0.7166666666666667,3.1333333333333333,1.5666666666666664
WK0363KC,Willemspark,5560,6.654676258992805,2.035316736770898,5000.0,988.5714285714287,1.0666666666666667,2.1666666666666665,0.7000000000000001,0.5,2.766666666666666,1.7333333333333334
WK0363KD,Museumkwartier,12640,11.313291139240507,2.5106792593976417,3300.0000000000005,1115.1079136690648,0.6666666666666666,2.533333333333333,0.6333333333333334,0.55,2.0833333333333335,1.9000000000000001
WK0363KE,Oude Pijp,14865,9.081735620585267,2.3107254324030304,2335.2941176470586,926.470588235294,0.6166666666666667,2.8000000000000003,0.5666666666666667,0.7333333333333334,1.95,1.616666666666667
WK0363KF,Nieuwe Pijp,12570,5.966587112171838,1.941125450931977,2051.8518518518517,998.148148148148,0.6833333333333335,2.3000000000000003,0.5,0.44999999999999996,1.9166666666666667,1.5166666666666666
WK0363KG,Zuid Pijp,7920,4.040404040404041,1.6174862456169288,2697.4358974358975,1292.3076923076922,0.9166666666666666,2.4,0.7333333333333334,0.5333333333333333,1.8500000000000003,1.5666666666666664
WK0363KH,Stadionbuurt,11770,6.627017841971114,2.031696922496412,2728.971962616822,1114.018691588785,1.3,1.4666666666666668,0.6333333333333333,0.5666666666666668,3.016666666666667,1.4833333333333334
WK0363KJ,Apollobuurt,8825,7.138810198300283,2.0966440020459927,2732.9787234042556,1261.7021276595744,1.1166666666666667,1.6333333333333335,0.5,0.5499999999999999,2.4,1.8666666666666665
WK0363KK,Scheldebuurt,15000,5.266666666666667,1.8352445811677938,2830.6930693069307,1274.2574257425742,1.0666666666666667,1.7666666666666666,0.8666666666666667,0.65,2.0833333333333335,1.9833333333333334
WK0363KL,IJselbuurt,5225,5.358851674641148,1.8498478067484343,2434.4827586206898,1493.103448275862,1.0999999999999999,2.2666666666666666,0.9,0.75,2.033333333333333,1.6500000000000001
WK0363KM,Rijnbuurt,8985,4.451864218141347,1.6959576085610832,2520.9090909090905,837.2727272727273,1.2333333333333334,2.1333333333333333,1.0333333333333332,0.5,2.1833333333333336,1.9333333333333336
WK0363KN,Prinses Irenebuurt e.o.,1400,7.857142857142858,2.181224235989778,6402.325581395349,916.2790697674419,1.2666666666666668,1.0999999999999999,0.7333333333333333,0.5333333333333333,2.5833333333333335,1.7000000000000002
