ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AfstandTotHuisartsenpraktijk_5;AfstandTotHuisartsenpost_9;AfstandTotApotheek_10;AfstandTotZiekenhuis_11;AfstandTotZiekenhuis_15;AfstandTotGroteSupermarkt_24;AfstandTotOvDagelLevensmiddelen_28;AfstandTotWarenhuis_32;AfstandTotCafeED_36;AfstandTotCafetariaED_40;AfstandTotRestaurant_44;AfstandTotHotelED_48;AfstandTotKinderdagverblijf_52;AfstandTotBuitenschoolseOpvang_56;AfstandTotSchool_60;AfstandTotSchool_64;AfstandTotSchool_68;AfstandTotSchool_72;AfstandTotOpritHoofdverkeersweg_89;AfstandTotTreinstationsTotaal_90;AfstandTotBelangrijkOverstapstation_91;AfstandTotBibliotheek_92;AfstandTotZwembad_93;AfstandTotKunstijsbaan_94;AfstandTotMuseum_95;AfstandTotPodiumkunstenTotaal_99;AfstandTotPoppodium_103;AfstandTotBioscoop_104;AfstandTotSauna_108;AfstandTotZonnebank_109;AfstandTotAttractie_110;AfstandTotBrandweerkazerne_114
1535;BU0363KR04;Amsterdam                               ;Buurt     ;BU0363KR04;3;2.6;4.6;2.3;4.6;4.6;1.8;1.7;2.9;3.1;0.3;1.1;2.1;1.5;1.5;1.5;1.5;1.5;1.5;2.1;2.5;4.2;2.9;3.6;7.5;4.5;3.1;5.9;4.4;3.7;2.9;0.7;5.3
1536;WK0363MA  ;Amsterdam                               ;Wijk      ;WK0363MA  ;3;0.9;3.4;1.1;3.4;3.4;1.0;0.7;1.2;0.7;0.5;0.3;0.7;0.4;0.5;0.8;1.1;1.1;1.2;3.9;2.3;3.1;1.7;3.2;3.7;2.1;1.9;3.3;3.2;2.2;2.6;3.0;2.5
1537;BU0363MA01;Amsterdam                               ;Buurt     ;BU0363MA01;2;0.7;3.8;1.3;3.8;3.8;1.2;0.8;1.3;1.0;0.6;0.3;0.6;0.3;0.3;0.5;1.4;1.4;1.4;4.3;2.3;2.3;2.3;3.8;4.3;1.6;1.4;3.9;3.1;2.8;3.1;2.7;3.1
1538;BU0363MA02;Amsterdam                               ;Buurt     ;BU0363MA02;3;0.7;4.2;1.4;4.2;4.2;1.2;0.4;1.3;1.2;0.6;0.1;1.5;0.6;1.2;1.3;1.4;1.4;1.4;4.7;3.2;3.3;2.4;4.0;4.4;2.6;2.5;4.1;4.2;2.9;3.4;3.7;3.2
1539;BU0363MA03;Amsterdam                               ;Buurt     ;BU0363MA03;2;1.2;3.4;1.0;3.3;3.4;1.1;1.0;1.2;0.6;0.3;0.4;0.7;0.6;0.6;0.6;1.4;1.4;1.4;3.7;1.7;1.7;1.9;3.3;4.2;1.1;0.8;3.4;2.6;2.6;2.6;2.2;2.6
1540;BU0363MA04;Amsterdam                               ;Buurt     ;BU0363MA04;2;0.5;3.0;0.6;3.0;3.0;0.5;0.4;0.6;0.4;0.3;0.3;0.3;0.3;0.3;0.5;0.5;0.5;0.5;3.4;2.0;2.5;1.4;2.8;3.3;1.7;1.6;2.9;2.9;1.9;2.2;2.7;2.0
1541;BU0363MA05;Amsterdam                               ;Buurt     ;BU0363MA05;2;0.5;3.4;0.6;3.4;3.4;0.4;0.5;0.5;0.4;0.5;0.5;0.7;0.3;0.3;0.3;0.6;0.6;0.6;3.9;2.5;3.1;1.7;3.2;3.6;2.4;2.2;3.3;3.5;2.1;2.6;3.4;2.5
1542;BU0363MA06;Amsterdam                               ;Buurt     ;BU0363MA06;2;0.9;3.3;1.2;3.3;3.3;1.0;0.8;1.1;1.0;0.7;0.2;0.9;0.5;0.5;0.5;1.0;1.0;1.0;3.7;2.3;3.4;1.5;3.1;3.4;2.5;2.3;3.1;3.3;2.0;2.5;3.2;2.3
1543;BU0363MA07;Amsterdam                               ;Buurt     ;BU0363MA07;2;0.5;2.5;0.9;2.5;2.5;0.8;0.6;1.0;0.6;0.6;0.2;0.5;0.4;0.7;0.9;0.8;0.8;0.8;3.2;1.5;2.9;1.0;2.3;2.9;1.7;1.5;2.4;2.5;1.5;1.7;2.4;1.6
1544;BU0363MA08;Amsterdam                               ;Buurt     ;BU0363MA08;2;0.6;2.4;1.0;2.4;2.4;0.8;0.8;1.2;0.7;0.8;0.2;0.6;0.4;0.7;1.0;1.1;1.1;1.1;3.4;1.4;3.1;0.9;2.2;2.9;1.6;1.4;2.2;2.4;1.4;1.6;2.3;1.4
